Date,Time,Voltage (V),TimeStamp (mS)
17 Oct 2022,15:14:19.377,3.756000,942844
17 Oct 2022,15:14:25.283,3.753000,947856
17 Oct 2022,15:14:30.578,3.755000,952916
17 Oct 2022,15:14:34.764,3.755000,957976
17 Oct 2022,15:14:40.254,3.750000,963032
17 Oct 2022,15:14:46.538,3.753000,968140
17 Oct 2022,15:14:52.163,3.753000,973348
17 Oct 2022,15:14:55.628,3.753000,978420
17 Oct 2022,15:15:02.199,3.756000,983468
17 Oct 2022,15:15:05.227,3.754000,988530
17 Oct 2022,15:15:10.749,3.754000,993558
17 Oct 2022,15:15:17.259,3.752000,998644
17 Oct 2022,15:15:21.008,3.750000,1003662
17 Oct 2022,15:15:27.084,3.752000,1008758
17 Oct 2022,15:15:30.863,3.755000,1013772
17 Oct 2022,15:15:37.299,3.753000,1018840
17 Oct 2022,15:15:41.753,3.753000,1023940
17 Oct 2022,15:15:45.533,3.754000,1028958
17 Oct 2022,15:15:51.686,3.752000,1034012
17 Oct 2022,15:15:57.401,3.750000,1039020
17 Oct 2022,15:16:00.699,3.753000,1044080
17 Oct 2022,15:16:06.880,3.754000,1049284
17 Oct 2022,15:16:12.489,3.750000,1054444
17 Oct 2022,15:16:16.118,3.748000,1059652
17 Oct 2022,15:16:22.169,3.748000,1064668
17 Oct 2022,15:16:27.834,3.752000,1069724
17 Oct 2022,15:16:32.876,3.752000,1074742
17 Oct 2022,15:16:38.289,3.752000,1079790
17 Oct 2022,15:16:40.838,3.751000,1084950
17 Oct 2022,15:16:47.573,3.751000,1090210
17 Oct 2022,15:16:52.990,3.751000,1095364
17 Oct 2022,15:16:57.894,3.752000,1100572
17 Oct 2022,15:17:03.152,3.749000,1105780
17 Oct 2022,15:17:08.831,3.751000,1111004
17 Oct 2022,15:17:13.148,3.751000,1116244
17 Oct 2022,15:17:18.428,3.754000,1121454
17 Oct 2022,15:17:23.979,3.751000,1126612
17 Oct 2022,15:17:29.784,3.746000,1131826
17 Oct 2022,15:17:34.074,3.752000,1136838
17 Oct 2022,15:17:40.014,3.749000,1141932
17 Oct 2022,15:17:43.615,3.753000,1147000
17 Oct 2022,15:17:49.211,3.750000,1152020
17 Oct 2022,15:17:53.614,3.749000,1157116
17 Oct 2022,15:18:00.115,3.750000,1162324
17 Oct 2022,15:18:04.599,3.750000,1167324
17 Oct 2022,15:18:08.604,3.751000,1172396
17 Oct 2022,15:18:15.189,3.752000,1177458
17 Oct 2022,15:18:18.944,3.751000,1182512
17 Oct 2022,15:18:23.829,3.751000,1187620
17 Oct 2022,15:18:29.380,3.747000,1192828
17 Oct 2022,15:18:34.584,3.749000,1197966
17 Oct 2022,15:18:40.330,3.751000,1202974
17 Oct 2022,15:18:44.304,3.747000,1207974
17 Oct 2022,15:18:49.585,3.748000,1213072
17 Oct 2022,15:18:55.720,3.750000,1218072
17 Oct 2022,15:19:00.699,3.751000,1223072
17 Oct 2022,15:19:06.355,3.749000,1228072
17 Oct 2022,15:19:09.971,3.750000,1233158
17 Oct 2022,15:19:16.046,3.748000,1238164
17 Oct 2022,15:19:19.764,3.747000,1243188
17 Oct 2022,15:19:26.034,3.749000,1248402
17 Oct 2022,15:19:30.106,3.748000,1253500
17 Oct 2022,15:19:36.399,3.746000,1258588
17 Oct 2022,15:19:39.954,3.748000,1263596
17 Oct 2022,15:19:46.556,3.747000,1268766
17 Oct 2022,15:19:52.570,3.748000,1273924
17 Oct 2022,15:19:55.301,3.750000,1278940
17 Oct 2022,15:20:00.925,3.750000,1283942
17 Oct 2022,15:20:06.730,3.749000,1288998
17 Oct 2022,15:20:11.710,3.748000,1294012
17 Oct 2022,15:20:16.915,3.747000,1299220
17 Oct 2022,15:20:22.150,3.749000,1304428
17 Oct 2022,15:20:26.175,3.749000,1309636
17 Oct 2022,15:20:32.433,3.747000,1314844
17 Oct 2022,15:20:36.985,3.747000,1319894
17 Oct 2022,15:20:43.165,3.750000,1324966
17 Oct 2022,15:20:47.006,3.747000,1330024
17 Oct 2022,15:20:52.871,3.751000,1335036
17 Oct 2022,15:20:56.590,3.748000,1340140
17 Oct 2022,15:21:01.870,3.750000,1345348
17 Oct 2022,15:21:07.106,3.745000,1350350
17 Oct 2022,15:21:13.005,3.746000,1355372
17 Oct 2022,15:21:17.156,3.746000,1360428
17 Oct 2022,15:21:22.497,3.744000,1365484
17 Oct 2022,15:21:27.910,3.747000,1370644
17 Oct 2022,15:21:33.238,3.746000,1375814
17 Oct 2022,15:21:38.351,3.747000,1380836
17 Oct 2022,15:21:44.096,3.746000,1385840
17 Oct 2022,15:21:47.696,3.747000,1390914
17 Oct 2022,15:21:53.141,3.747000,1395924
17 Oct 2022,15:21:58.901,3.748000,1401112
17 Oct 2022,15:22:04.379,3.743000,1406154
17 Oct 2022,15:22:07.871,3.743000,1411186
17 Oct 2022,15:22:13.379,3.746000,1416352
17 Oct 2022,15:22:18.072,3.747000,1421450
17 Oct 2022,15:22:23.666,3.745000,1426590
17 Oct 2022,15:22:29.786,3.741000,1431706
17 Oct 2022,15:22:33.479,3.745000,1436860
17 Oct 2022,15:22:39.387,3.744000,1441872
17 Oct 2022,15:22:43.604,3.744000,1446884
17 Oct 2022,15:22:49.032,3.743000,1451940
17 Oct 2022,15:22:54.281,3.743000,1456948
17 Oct 2022,15:22:59.953,3.746000,1462156
17 Oct 2022,15:23:05.427,3.744000,1467370
17 Oct 2022,15:23:09.476,3.742000,1472380
17 Oct 2022,15:23:15.041,3.744000,1477436
17 Oct 2022,15:23:18.822,3.746000,1482456
17 Oct 2022,15:23:24.762,3.743000,1487552
17 Oct 2022,15:23:30.461,3.743000,1492688
17 Oct 2022,15:23:34.392,3.743000,1497868
17 Oct 2022,15:23:40.272,3.746000,1503076
17 Oct 2022,15:23:46.843,3.742000,1508092
17 Oct 2022,15:23:50.037,3.748000,1513098
17 Oct 2022,15:23:55.979,3.743000,1518158
17 Oct 2022,15:24:01.801,3.741000,1523164
17 Oct 2022,15:24:05.292,3.745000,1528178
17 Oct 2022,15:24:11.727,3.743000,1533238
17 Oct 2022,15:24:15.117,3.745000,1538280
17 Oct 2022,15:24:20.608,3.743000,1543306
17 Oct 2022,15:24:27.136,3.744000,1548512
17 Oct 2022,15:24:30.161,3.744000,1553668
17 Oct 2022,15:24:35.458,3.744000,1558876
17 Oct 2022,15:24:41.188,3.742000,1563888
17 Oct 2022,15:24:47.277,3.742000,1568948
17 Oct 2022,15:24:50.847,3.741000,1573958
17 Oct 2022,15:24:57.318,3.743000,1578964
17 Oct 2022,15:25:00.477,3.740000,1584172
17 Oct 2022,15:25:05.877,3.743000,1589196
17 Oct 2022,15:25:11.971,3.743000,1594244
17 Oct 2022,15:25:17.657,3.743000,1599252
17 Oct 2022,15:25:20.668,3.741000,1604262
17 Oct 2022,15:25:26.878,3.738000,1609342
17 Oct 2022,15:25:32.295,3.742000,1614432
17 Oct 2022,15:25:37.754,3.740000,1619486
17 Oct 2022,15:25:41.413,3.743000,1624500
17 Oct 2022,15:25:47.518,3.742000,1629556
17 Oct 2022,15:25:52.861,3.742000,1634768
17 Oct 2022,15:25:56.294,3.742000,1639972
17 Oct 2022,15:26:02.399,3.741000,1644986
17 Oct 2022,15:26:07.498,3.739000,1650044
