Date,Time,INSCO2 (mmHg)
17 Oct 2022,15:09:53.761,2.4
17 Oct 2022,15:09:56.318,2.4
17 Oct 2022,15:09:58.857,2.7
17 Oct 2022,15:10:01.416,2.7
17 Oct 2022,15:10:03.955,3.0
17 Oct 2022,15:10:06.515,3.0
17 Oct 2022,15:10:09.067,3.0
17 Oct 2022,15:10:11.624,2.6
17 Oct 2022,15:10:14.163,0.5
17 Oct 2022,15:10:16.723,0.5
17 Oct 2022,15:10:19.276,0.5
17 Oct 2022,15:10:21.816,0.5
17 Oct 2022,15:10:24.377,0.5
17 Oct 2022,15:10:26.929,2.6
17 Oct 2022,15:10:29.469,2.6
17 Oct 2022,15:10:32.024,3.0
17 Oct 2022,15:10:34.585,3.0
17 Oct 2022,15:10:37.120,3.0
17 Oct 2022,15:10:39.675,3.0
17 Oct 2022,15:10:42.216,3.0
17 Oct 2022,15:10:44.774,3.0
17 Oct 2022,15:10:47.328,3.0
17 Oct 2022,15:10:49.886,3.0
17 Oct 2022,15:10:52.441,2.9
17 Oct 2022,15:10:54.996,2.9
17 Oct 2022,15:10:57.540,2.9
17 Oct 2022,15:11:00.093,2.9
17 Oct 2022,15:11:02.634,2.4
17 Oct 2022,15:11:05.206,2.4
17 Oct 2022,15:11:07.748,2.3
17 Oct 2022,15:11:10.286,2.3
17 Oct 2022,15:11:12.863,2.3
17 Oct 2022,15:11:15.382,2.3
17 Oct 2022,15:11:17.959,2.3
17 Oct 2022,15:11:20.484,2.5
17 Oct 2022,15:11:23.038,2.5
17 Oct 2022,15:11:25.607,2.5
17 Oct 2022,15:11:28.148,2.6
17 Oct 2022,15:11:30.703,2.6
17 Oct 2022,15:11:33.243,2.6
17 Oct 2022,15:11:35.813,2.6
17 Oct 2022,15:11:38.355,2.8
17 Oct 2022,15:11:40.895,2.8
17 Oct 2022,15:11:43.469,2.8
17 Oct 2022,15:11:46.003,2.8
17 Oct 2022,15:11:48.548,2.8
17 Oct 2022,15:11:51.121,3.4
17 Oct 2022,15:11:53.660,3.4
17 Oct 2022,15:11:56.216,2.6
17 Oct 2022,15:11:58.758,2.6
17 Oct 2022,15:12:01.297,2.6
17 Oct 2022,15:12:03.871,2.6
17 Oct 2022,15:12:06.409,2.7
17 Oct 2022,15:12:08.965,2.7
17 Oct 2022,15:12:11.508,3.0
17 Oct 2022,15:12:14.066,3.2
17 Oct 2022,15:12:16.618,3.2
17 Oct 2022,15:12:19.161,3.2
17 Oct 2022,15:12:21.737,3.2
17 Oct 2022,15:12:24.277,3.6
17 Oct 2022,15:12:26.809,3.8
17 Oct 2022,15:12:29.383,3.8
17 Oct 2022,15:12:31.931,3.5
17 Oct 2022,15:12:34.486,3.5
17 Oct 2022,15:12:37.019,3.5
17 Oct 2022,15:12:39.561,2.5
17 Oct 2022,15:12:42.131,0.5
17 Oct 2022,15:12:44.671,0.5
17 Oct 2022,15:12:47.229,0.5
17 Oct 2022,15:12:49.784,0.5
17 Oct 2022,15:12:52.341,0.5
17 Oct 2022,15:12:54.886,2.3
17 Oct 2022,15:12:57.436,2.3
17 Oct 2022,15:12:59.994,2.1
17 Oct 2022,15:13:02.538,2.1
17 Oct 2022,15:13:05.074,2.1
17 Oct 2022,15:13:07.645,1.7
17 Oct 2022,15:13:10.186,1.7
17 Oct 2022,15:13:12.740,1.7
17 Oct 2022,15:13:15.283,1.7
17 Oct 2022,15:13:17.844,1.7
17 Oct 2022,15:13:20.399,2.9
17 Oct 2022,15:13:22.959,3.0
17 Oct 2022,15:13:25.489,3.0
17 Oct 2022,15:13:28.047,3.0
17 Oct 2022,15:13:30.605,3.3
17 Oct 2022,15:13:33.142,3.3
17 Oct 2022,15:13:35.704,0.0
17 Oct 2022,15:13:38.255,0.5
17 Oct 2022,15:13:40.798,0.5
17 Oct 2022,15:13:43.351,0.5
17 Oct 2022,15:13:45.906,0.5
17 Oct 2022,15:13:48.453,0.5
17 Oct 2022,15:13:51.007,1.6
17 Oct 2022,15:13:53.545,1.6
17 Oct 2022,15:13:56.101,1.6
17 Oct 2022,15:13:58.660,2.0
17 Oct 2022,15:14:01.219,2.0
17 Oct 2022,15:14:03.769,2.0
17 Oct 2022,15:14:06.317,2.1
17 Oct 2022,15:14:08.874,2.1
17 Oct 2022,15:14:11.411,2.1
17 Oct 2022,15:14:13.966,2.1
17 Oct 2022,15:14:16.521,2.4
17 Oct 2022,15:14:19.065,2.8
17 Oct 2022,15:14:21.624,2.8
17 Oct 2022,15:14:24.173,3.5
17 Oct 2022,15:14:26.710,2.4
17 Oct 2022,15:14:29.282,2.4
