Date,Time,SPO2 (%),TimeStamp (mS)
17 Oct 2022,15:08:53.296,98,1666033733296
17 Oct 2022,15:08:55.836,98,1666033735836
17 Oct 2022,15:08:58.392,98,1666033738392
17 Oct 2022,15:09:00.948,98,1666033740948
17 Oct 2022,15:09:03.487,98,1666033743487
17 Oct 2022,15:09:06.045,98,1666033746045
17 Oct 2022,15:09:08.599,98,1666033748599
17 Oct 2022,15:09:11.143,98,1666033751143
17 Oct 2022,15:09:13.700,98,1666033753700
17 Oct 2022,15:09:16.260,98,1666033756260
17 Oct 2022,15:09:18.795,98,1666033758795
17 Oct 2022,15:09:21.349,98,1666033761349
17 Oct 2022,15:09:23.906,98,1666033763906
17 Oct 2022,15:09:26.448,98,1666033766448
17 Oct 2022,15:09:29.000,98,1666033769000
17 Oct 2022,15:09:31.558,98,1666033771558
17 Oct 2022,15:09:34.105,98,1666033774105
17 Oct 2022,15:09:36.652,98,1666033776652
17 Oct 2022,15:09:39.209,98,1666033779209
17 Oct 2022,15:09:41.766,98,1666033781766
17 Oct 2022,15:09:44.307,98,1666033784307
17 Oct 2022,15:09:46.878,98,1666033786878
17 Oct 2022,15:09:49.410,98,1666033789410
17 Oct 2022,15:09:51.961,98,1666033791961
17 Oct 2022,15:09:54.514,98,1666033794514
17 Oct 2022,15:09:57.056,98,1666033797056
17 Oct 2022,15:09:59.627,98,1666033799627
17 Oct 2022,15:10:02.149,98,1666033802149
17 Oct 2022,15:10:04.710,97,1666033804710
17 Oct 2022,15:10:07.278,98,1666033807278
17 Oct 2022,15:10:09.820,98,1666033809820
17 Oct 2022,15:10:12.376,98,1666033812376
17 Oct 2022,15:10:14.933,98,1666033814933
17 Oct 2022,15:10:17.476,98,1666033817476
17 Oct 2022,15:10:20.028,98,1666033820028
17 Oct 2022,15:10:22.568,98,1666033822568
17 Oct 2022,15:10:25.140,98,1666033825140
17 Oct 2022,15:10:27.666,98,1666033827666
17 Oct 2022,15:10:30.220,98,1666033830220
17 Oct 2022,15:10:32.776,98,1666033832776
17 Oct 2022,15:10:35.343,98,1666033835343
17 Oct 2022,15:10:37.891,98,1666033837891
17 Oct 2022,15:10:40.429,98,1666033840429
17 Oct 2022,15:10:42.988,98,1666033842988
17 Oct 2022,15:10:45.548,98,1666033845548
17 Oct 2022,15:10:48.084,98,1666033848084
17 Oct 2022,15:10:50.637,98,1666033850638
17 Oct 2022,15:10:53.202,98,1666033853202
17 Oct 2022,15:10:55.734,98,1666033855734
17 Oct 2022,15:10:58.290,98,1666033858290
17 Oct 2022,15:11:00.830,98,1666033860830
17 Oct 2022,15:11:03.403,98,1666033863403
17 Oct 2022,15:11:05.943,98,1666033865943
17 Oct 2022,15:11:08.483,98,1666033868483
17 Oct 2022,15:11:11.047,98,1666033871047
17 Oct 2022,15:11:13.603,98,1666033873603
17 Oct 2022,15:11:16.151,98,1666033876151
17 Oct 2022,15:11:18.696,98,1666033878696
17 Oct 2022,15:11:21.233,98,1666033881233
17 Oct 2022,15:11:23.803,98,1666033883803
17 Oct 2022,15:11:26.346,98,1666033886346
17 Oct 2022,15:11:28.899,98,1666033888899
17 Oct 2022,15:11:31.457,98,1666033891457
17 Oct 2022,15:11:33.996,98,1666033893996
17 Oct 2022,15:11:36.553,98,1666033896553
17 Oct 2022,15:11:39.109,98,1666033899109
17 Oct 2022,15:11:41.664,98,1666033901664
17 Oct 2022,15:11:44.206,97,1666033904206
17 Oct 2022,15:11:46.752,97,1666033906752
17 Oct 2022,15:11:49.303,97,1666033909303
17 Oct 2022,15:11:51.858,97,1666033911858
17 Oct 2022,15:11:54.414,98,1666033914414
17 Oct 2022,15:11:56.956,98,1666033916956
17 Oct 2022,15:11:59.509,97,1666033919509
17 Oct 2022,15:12:02.066,97,1666033922066
17 Oct 2022,15:12:04.623,97,1666033924623
17 Oct 2022,15:12:07.161,98,1666033927161
17 Oct 2022,15:12:09.719,98,1666033929719
17 Oct 2022,15:12:12.259,98,1666033932259
17 Oct 2022,15:12:14.831,98,1666033934831
17 Oct 2022,15:12:17.372,97,1666033937372
17 Oct 2022,15:12:19.936,97,1666033939936
17 Oct 2022,15:12:22.475,97,1666033942475
17 Oct 2022,15:12:25.031,97,1666033945031
17 Oct 2022,15:12:27.566,97,1666033947566
17 Oct 2022,15:12:30.122,97,1666033950122
17 Oct 2022,15:12:32.681,97,1666033952681
17 Oct 2022,15:12:35.217,97,1666033955217
17 Oct 2022,15:12:37.775,97,1666033957775
17 Oct 2022,15:12:40.328,97,1666033960328
17 Oct 2022,15:12:42.888,98,1666033962888
17 Oct 2022,15:12:45.441,98,1666033965441
17 Oct 2022,15:12:47.981,98,1666033967981
17 Oct 2022,15:12:50.524,97,1666033970524
17 Oct 2022,15:12:53.079,98,1666033973080
17 Oct 2022,15:12:55.641,97,1666033975641
17 Oct 2022,15:12:58.190,97,1666033978190
17 Oct 2022,15:13:00.735,97,1666033980735
17 Oct 2022,15:13:03.303,97,1666033983303
17 Oct 2022,15:13:05.842,98,1666033985842
17 Oct 2022,15:13:08.393,98,1666033988393
17 Oct 2022,15:13:10.937,98,1666033990937
17 Oct 2022,15:13:13.478,98,1666033993478
17 Oct 2022,15:13:16.041,98,1666033996041
17 Oct 2022,15:13:18.597,98,1666033998597
17 Oct 2022,15:13:21.158,98,1666034001158
17 Oct 2022,15:13:23.703,98,1666034003703
17 Oct 2022,15:13:26.247,98,1666034006247
17 Oct 2022,15:13:28.800,98,1666034008800
17 Oct 2022,15:13:31.340,98,1666034011340
17 Oct 2022,15:13:33.896,97,1666034013896
17 Oct 2022,15:13:36.454,97,1666034016454
17 Oct 2022,15:13:38.991,97,1666034018991
17 Oct 2022,15:13:41.546,97,1666034021546
17 Oct 2022,15:13:44.105,97,1666034024105
17 Oct 2022,15:13:46.645,97,1666034026645
17 Oct 2022,15:13:49.220,97,1666034029220
17 Oct 2022,15:13:51.764,97,1666034031764
17 Oct 2022,15:13:54.298,98,1666034034298
17 Oct 2022,15:13:56.868,98,1666034036868
17 Oct 2022,15:13:59.415,98,1666034039415
17 Oct 2022,15:14:01.969,98,1666034041969
17 Oct 2022,15:14:04.523,99,1666034044523
17 Oct 2022,15:14:07.048,99,1666034047048
17 Oct 2022,15:14:09.625,98,1666034049625
17 Oct 2022,15:14:12.166,98,1666034052166
17 Oct 2022,15:14:14.737,98,1666034054737
17 Oct 2022,15:14:17.277,98,1666034057277
17 Oct 2022,15:14:19.815,98,1666034059815
17 Oct 2022,15:14:22.374,98,1666034062374
17 Oct 2022,15:14:24.930,98,1666034064930
17 Oct 2022,15:14:27.478,98,1666034067478
17 Oct 2022,15:14:30.019,98,1666034070019
17 Oct 2022,15:14:32.574,98,1666034072574
17 Oct 2022,15:14:35.131,98,1666034075131
17 Oct 2022,15:14:37.688,98,1666034077688
17 Oct 2022,15:14:40.238,98,1666034080238
17 Oct 2022,15:14:42.785,98,1666034082785
17 Oct 2022,15:14:45.324,98,1666034085324
17 Oct 2022,15:14:47.879,98,1666034087879
17 Oct 2022,15:14:50.436,98,1666034090436
17 Oct 2022,15:14:52.993,98,1666034092993
17 Oct 2022,15:14:55.532,98,1666034095532
17 Oct 2022,15:14:58.073,98,1666034098073
17 Oct 2022,15:15:00.630,98,1666034100630
17 Oct 2022,15:15:03.187,97,1666034103187
17 Oct 2022,15:15:05.747,97,1666034105747
17 Oct 2022,15:15:08.286,97,1666034108286
17 Oct 2022,15:15:10.836,97,1666034110836
17 Oct 2022,15:15:13.392,97,1666034113392
17 Oct 2022,15:15:15.957,97,1666034115957
17 Oct 2022,15:15:18.489,97,1666034118489
17 Oct 2022,15:15:21.069,97,1666034121069
17 Oct 2022,15:15:23.588,97,1666034123588
17 Oct 2022,15:15:26.143,97,1666034126143
17 Oct 2022,15:15:28.699,97,1666034128699
17 Oct 2022,15:15:31.254,97,1666034131254
17 Oct 2022,15:15:33.797,97,1666034133797
17 Oct 2022,15:15:36.350,97,1666034136350
17 Oct 2022,15:15:38.899,97,1666034138899
17 Oct 2022,15:15:41.451,97,1666034141451
17 Oct 2022,15:15:44.002,97,1666034144002
17 Oct 2022,15:15:46.549,98,1666034146549
17 Oct 2022,15:15:49.101,98,1666034149101
17 Oct 2022,15:15:51.679,98,1666034151679
17 Oct 2022,15:15:54.218,98,1666034154218
17 Oct 2022,15:15:56.763,98,1666034156763
17 Oct 2022,15:15:59.315,98,1666034159315
17 Oct 2022,15:16:01.852,98,1666034161852
17 Oct 2022,15:16:04.409,98,1666034164409
17 Oct 2022,15:16:06.957,98,1666034166957
17 Oct 2022,15:16:09.516,98,1666034169516
17 Oct 2022,15:16:12.059,98,1666034172059
17 Oct 2022,15:16:14.613,97,1666034174613
17 Oct 2022,15:16:17.168,98,1666034177168
17 Oct 2022,15:16:19.719,98,1666034179719
17 Oct 2022,15:16:22.263,98,1666034182263
17 Oct 2022,15:16:24.812,98,1666034184812
17 Oct 2022,15:16:27.364,98,1666034187364
17 Oct 2022,15:16:29.925,98,1666034189925
17 Oct 2022,15:16:32.474,98,1666034192474
