Date,Time,ETCO2 (mmHg)
17 Oct 2022,15:09:54.012,36.6
17 Oct 2022,15:09:56.551,37.1
17 Oct 2022,15:09:59.125,37.1
17 Oct 2022,15:10:01.665,36.5
17 Oct 2022,15:10:04.205,36.5
17 Oct 2022,15:10:06.761,37.2
17 Oct 2022,15:10:09.319,37.4
17 Oct 2022,15:10:11.872,37.4
17 Oct 2022,15:10:14.415,37.4
17 Oct 2022,15:10:16.976,37.4
17 Oct 2022,15:10:19.525,37.4
17 Oct 2022,15:10:22.067,35.2
17 Oct 2022,15:10:24.622,35.2
17 Oct 2022,15:10:27.179,36.1
17 Oct 2022,15:10:29.718,36.1
17 Oct 2022,15:10:32.273,34.7
17 Oct 2022,15:10:34.835,34.7
17 Oct 2022,15:10:37.388,35.2
17 Oct 2022,15:10:39.928,35.6
17 Oct 2022,15:10:42.484,35.6
17 Oct 2022,15:10:45.026,35.6
17 Oct 2022,15:10:47.584,34.1
17 Oct 2022,15:10:50.136,34.1
17 Oct 2022,15:10:52.698,34.4
17 Oct 2022,15:10:55.233,35.0
17 Oct 2022,15:10:57.789,35.5
17 Oct 2022,15:11:00.345,35.5
17 Oct 2022,15:11:02.886,35.5
17 Oct 2022,15:11:05.442,35.1
17 Oct 2022,15:11:07.980,36.1
17 Oct 2022,15:11:10.541,36.1
17 Oct 2022,15:11:13.099,36.1
17 Oct 2022,15:11:15.649,35.0
17 Oct 2022,15:11:18.197,35.0
17 Oct 2022,15:11:20.752,36.2
17 Oct 2022,15:11:23.287,36.2
17 Oct 2022,15:11:25.844,36.2
17 Oct 2022,15:11:28.397,35.8
17 Oct 2022,15:11:30.938,35.8
17 Oct 2022,15:11:33.495,36.1
17 Oct 2022,15:11:36.049,35.8
17 Oct 2022,15:11:38.608,35.8
17 Oct 2022,15:11:41.147,36.7
17 Oct 2022,15:11:43.704,36.7
17 Oct 2022,15:11:46.249,36.7
17 Oct 2022,15:11:48.811,36.2
17 Oct 2022,15:11:51.354,36.7
17 Oct 2022,15:11:53.928,36.7
17 Oct 2022,15:11:56.450,36.7
17 Oct 2022,15:11:59.008,35.6
17 Oct 2022,15:12:01.563,35.6
17 Oct 2022,15:12:04.108,35.6
17 Oct 2022,15:12:06.676,35.6
17 Oct 2022,15:12:09.199,36.4
17 Oct 2022,15:12:11.758,36.4
17 Oct 2022,15:12:14.314,35.9
17 Oct 2022,15:12:16.869,37.1
17 Oct 2022,15:12:19.430,37.1
17 Oct 2022,15:12:21.973,37.1
17 Oct 2022,15:12:24.511,36.6
17 Oct 2022,15:12:27.065,37.1
17 Oct 2022,15:12:29.617,37.1
17 Oct 2022,15:12:32.197,37.1
17 Oct 2022,15:12:34.713,37.1
17 Oct 2022,15:12:37.289,36.2
17 Oct 2022,15:12:39.827,36.2
17 Oct 2022,15:12:42.378,36.2
17 Oct 2022,15:12:44.939,35.5
17 Oct 2022,15:12:47.480,35.5
17 Oct 2022,15:12:50.021,35.5
17 Oct 2022,15:12:52.591,35.1
17 Oct 2022,15:12:55.135,35.3
17 Oct 2022,15:12:57.687,35.3
17 Oct 2022,15:13:00.230,36.1
17 Oct 2022,15:13:02.774,36.1
17 Oct 2022,15:13:05.338,36.1
17 Oct 2022,15:13:07.879,36.1
17 Oct 2022,15:13:10.453,35.8
17 Oct 2022,15:13:12.992,35.1
17 Oct 2022,15:13:15.538,35.1
17 Oct 2022,15:13:18.096,35.1
17 Oct 2022,15:13:20.651,35.4
17 Oct 2022,15:13:23.207,35.4
17 Oct 2022,15:13:25.742,35.4
17 Oct 2022,15:13:28.296,36.4
17 Oct 2022,15:13:30.853,36.4
17 Oct 2022,15:13:33.396,36.4
17 Oct 2022,15:13:35.954,36.4
17 Oct 2022,15:13:38.507,36.4
17 Oct 2022,15:13:41.035,36.4
17 Oct 2022,15:13:43.604,36.1
17 Oct 2022,15:13:46.159,36.1
17 Oct 2022,15:13:48.726,36.1
17 Oct 2022,15:13:51.259,36.1
17 Oct 2022,15:13:53.795,36.1
17 Oct 2022,15:13:56.354,33.9
17 Oct 2022,15:13:58.912,33.9
17 Oct 2022,15:14:01.470,35.3
17 Oct 2022,15:14:04.006,35.3
17 Oct 2022,15:14:06.558,36.2
17 Oct 2022,15:14:09.122,36.4
17 Oct 2022,15:14:11.660,36.4
17 Oct 2022,15:14:14.215,36.4
17 Oct 2022,15:14:16.773,35.9
17 Oct 2022,15:14:19.317,35.9
17 Oct 2022,15:14:21.871,35.9
17 Oct 2022,15:14:24.422,36.0
17 Oct 2022,15:14:26.978,36.0
17 Oct 2022,15:14:29.515,36.9
17 Oct 2022,15:14:32.074,36.9
17 Oct 2022,15:14:34.619,36.9
17 Oct 2022,15:14:37.170,36.4
17 Oct 2022,15:14:39.732,36.4
17 Oct 2022,15:14:42.265,36.5
17 Oct 2022,15:14:44.823,36.5
17 Oct 2022,15:14:47.378,36.5
17 Oct 2022,15:14:49.933,36.2
17 Oct 2022,15:14:52.474,35.9
17 Oct 2022,15:14:55.030,35.9
17 Oct 2022,15:14:57.588,35.6
17 Oct 2022,15:15:00.125,39.6
17 Oct 2022,15:15:02.683,39.6
17 Oct 2022,15:15:05.247,36.2
17 Oct 2022,15:15:07.782,37.5
17 Oct 2022,15:15:10.335,37.5
17 Oct 2022,15:15:12.890,37.5
17 Oct 2022,15:15:15.438,37.5
17 Oct 2022,15:15:17.988,37.5
17 Oct 2022,15:15:20.527,36.5
17 Oct 2022,15:15:23.093,36.8
17 Oct 2022,15:15:25.640,36.8
17 Oct 2022,15:15:28.196,36.8
17 Oct 2022,15:15:30.752,37.2
17 Oct 2022,15:15:33.292,37.2
17 Oct 2022,15:15:35.834,37.2
17 Oct 2022,15:15:38.392,37.0
17 Oct 2022,15:15:40.954,37.0
17 Oct 2022,15:15:43.516,37.0
17 Oct 2022,15:15:46.058,37.0
17 Oct 2022,15:15:48.597,36.9
17 Oct 2022,15:15:51.161,36.9
17 Oct 2022,15:15:53.701,36.9
17 Oct 2022,15:15:56.271,36.6
17 Oct 2022,15:15:58.812,36.6
17 Oct 2022,15:16:01.348,36.4
17 Oct 2022,15:16:03.923,36.4
17 Oct 2022,15:16:06.458,37.6
17 Oct 2022,15:16:09.015,37.6
17 Oct 2022,15:16:11.554,36.0
17 Oct 2022,15:16:14.096,36.0
17 Oct 2022,15:16:16.667,36.0
17 Oct 2022,15:16:19.213,36.0
17 Oct 2022,15:16:21.780,36.0
17 Oct 2022,15:16:24.320,35.3
17 Oct 2022,15:16:26.861,36.4
17 Oct 2022,15:16:29.423,36.4
17 Oct 2022,15:16:31.959,36.4
17 Oct 2022,15:16:34.527,36.4
17 Oct 2022,15:16:37.068,36.4
17 Oct 2022,15:16:39.608,35.6
17 Oct 2022,15:16:42.180,35.6
17 Oct 2022,15:16:44.720,36.5
17 Oct 2022,15:16:47.276,36.5
17 Oct 2022,15:16:49.834,36.5
17 Oct 2022,15:16:52.379,36.4
17 Oct 2022,15:16:54.929,36.4
17 Oct 2022,15:16:57.485,36.7
17 Oct 2022,15:17:00.068,36.7
17 Oct 2022,15:17:02.587,36.5
17 Oct 2022,15:17:05.123,36.8
17 Oct 2022,15:17:07.689,36.8
17 Oct 2022,15:17:10.239,36.8
17 Oct 2022,15:17:12.789,36.8
17 Oct 2022,15:17:15.332,36.5
17 Oct 2022,15:17:17.887,36.5
17 Oct 2022,15:17:20.443,36.5
17 Oct 2022,15:17:22.984,34.9
17 Oct 2022,15:17:25.555,36.8
17 Oct 2022,15:17:28.095,36.8
17 Oct 2022,15:17:30.634,36.8
17 Oct 2022,15:17:33.196,36.8
17 Oct 2022,15:17:35.757,36.8
17 Oct 2022,15:17:38.311,34.8
17 Oct 2022,15:17:40.844,35.9
17 Oct 2022,15:17:43.405,36.7
17 Oct 2022,15:17:45.952,36.7
17 Oct 2022,15:17:48.498,37.1
17 Oct 2022,15:17:51.057,37.1
17 Oct 2022,15:17:53.610,37.1
17 Oct 2022,15:17:56.155,37.5
17 Oct 2022,15:17:58.705,37.5
17 Oct 2022,15:18:01.246,37.5
17 Oct 2022,15:18:03.800,37.5
17 Oct 2022,15:18:06.362,37.9
